Product Name,Variant,Weight (gm),Weight (kg),Selling Price (₹),Original Price (₹),Price per kg (₹)
Patali Gur & Nolen Gur,700gm + 750gm,1450,1.45,836.0,929.0,576.55
Patali Gur & Nolen Gur,1.4kg + 1.5kg,2900,2.9,1556.0,1729.0,536.55
Patali Gur & Nolen Gur,700gm + 750gm,1450,1.45,836.0,929.0,576.55
Patali Gur & Nolen Gur,1.4kg + 1.5kg,2900,2.9,1556.0,1729.0,536.55
Nolen Gur (liquid date palm jaggery),750gm,750,0.75,493.0,519.0,657.33
Nolen Gur (liquid date palm jaggery),1.5kg (Pack of 2),1500,1.5,899.0,999.0,599.33
Nolen Gur (liquid date palm jaggery),3kg (Pack of 4),3000,3.0,1563.0,1839.0,521.0
Nolen Gur (liquid date palm jaggery),750gm,750,0.75,493.0,519.0,657.33
Nolen Gur (liquid date palm jaggery),1.5kg (Pack of 2),1500,1.5,899.0,999.0,599.33
Nolen Gur (liquid date palm jaggery),3kg (Pack of 4),3000,3.0,1563.0,1839.0,521.0
Nolen Gur (liquid date palm jaggery),750gm,750,0.75,493.0,519.0,657.33
Nolen Gur (liquid date palm jaggery),1.5kg (Pack of 2),1500,1.5,899.0,999.0,599.33
Nolen Gur (liquid date palm jaggery),3kg (Pack of 4),3000,3.0,1563.0,1839.0,521.0
Patali Gur (Date Palm Jaggery),700gm,700,0.7,407.0,429.0,581.43
Patali Gur (Date Palm Jaggery),1.4kg (Pack of 2),1400,1.4,755.0,839.0,539.29
Patali Gur (Date Palm Jaggery),2.8kg (Pack of 4),2800,2.8,1333.0,1569.0,476.07
Patali Gur (Date Palm Jaggery),700gm,700,0.7,407.0,429.0,581.43
Patali Gur (Date Palm Jaggery),1.4kg (Pack of 2),1400,1.4,755.0,839.0,539.29
Patali Gur (Date Palm Jaggery),2.8kg (Pack of 4),2800,2.8,1333.0,1569.0,476.07
Patali Gur (Date Palm Jaggery),700gm,700,0.7,407.0,429.0,581.43
Patali Gur (Date Palm Jaggery),1.4kg (Pack of 2),1400,1.4,755.0,839.0,539.29
Patali Gur (Date Palm Jaggery),2.8kg (Pack of 4),2800,2.8,1333.0,1569.0,476.07
